price,year,manufacturer,model,condition,fuel,title_status,transmission,drive,type,paint_color
30590,2020,subaru,brz limited coupe 2d,good,gas,clean,other,rwd,coupe,white
17500,2013,ram,2500,good,gas,clean,automatic,4wd,pickup,white
7800,2010,honda,accord,excellent,gas,clean,automatic,fwd,sedan,black
37990,2016,toyota,tundra double cab sr,good,gas,clean,other,4wd,pickup,black
2500,2010,toyota,sequoia sr5 platinum,excellent,gas,clean,automatic,4wd,SUV,white
5975,2012,ford,focus se,like new,gas,clean,automatic,fwd,sedan,silver
15590,2016,kia,forte koup sx coupe 2d,good,gas,clean,other,fwd,coupe,red
6999,2006,honda,civic,like new,gas,clean,manual,fwd,coupe,silver
4500,2012,chevrolet,sonic,excellent,gas,clean,manual,fwd,hatchback,black
18990,2019,volkswagen,jetta 1.4t s sedan 4d,good,gas,clean,other,fwd,sedan,silver
47000,2015,ford,mustang roush rs3,like new,gas,clean,manual,rwd,coupe,white
17990,2013,lincoln,mkz sedan 4d,good,gas,clean,automatic,fwd,sedan,white
8000,2013,chevrolet,express heavy duty,excellent,gas,clean,automatic,rwd,SUV,blue
18990,2020,chevrolet,spark activ hatchback,good,gas,clean,other,fwd,hatchback,black
62521,2019,cadillac,escalade esv,excellent,gas,clean,automatic,4wd,SUV,white
35900,2017,ford,f150 super crew xlt,excellent,gas,clean,automatic,4wd,pickup,blue
19590,2019,chevrolet,trax lt sport utility,good,other,clean,other,fwd,hatchback,white
26000,2012,lexus,is350c,excellent,gas,clean,automatic,rwd,convertible,white
5875,2011,ford,fusion hybrid,excellent,hybrid,clean,automatic,fwd,sedan,red
7999,2014,dodge,grand caravan,good,gas,clean,automatic,fwd,mini-van,blue
27998,2017,dodge,charger scat pack daytona,excellent,gas,salvage,automatic,rwd,sedan,grey
15590,2018,ford,focus se sedan 4d,good,other,clean,automatic,fwd,sedan,silver
23590,2018,mitsubishi,outlander phev gt,good,other,clean,other,4wd,other,white
20900,2018,ford,transit connect van,good,gas,clean,automatic,fwd,van,white
